code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected
002153,002153.SZ,石基信息,软件服务,20260105,11.32,68.29254982804036,61.60358062639065,6.688969201649709,2.07,4.6339,8837.99,0.17636684303350594,momentum,BULL_TREND,52.48153838623002,100.0,88.37989999999999,65.0,66.88969201649708,33.33333333333333,0.0,77.60764798490067,0.0,1,1,A_recovered_proxy_vr1.5,True
600685,600685.SH,中船防务,船舶,20260105,29.99,59.18671227069939,59.18671227069939,0.0,1.95,4.7045,12725.24,3.8782051282051313,momentum,BULL_TREND,48.1737061987443,94.73076923076921,100.0,80.0,39.871339040281455,63.33333333333333,0.0,73.46644943087867,0.0,2,2,A_recovered_proxy_vr1.5,True
603236,603236.SH,移远通信,通信设备,20260105,100.12,58.168574725441296,58.168574725441296,0.0,2.06,5.6418,27751.69,0.47713717693835966,momentum,BULL_TREND,52.132216870424685,100.0,100.0,65.0,44.92697312632956,33.33333333333333,0.0,64.46680902945018,0.0,3,3,A_recovered_proxy_vr1.5,True
002153,002153.SZ,石基信息,软件服务,20260105,11.32,61.60358062639065,61.60358062639065,0.0,2.07,4.6339,8837.99,0.17636684303350594,momentum,BULL_TREND,52.48153838623002,100.0,88.37989999999999,65.0,66.88969201649708,33.33333333333333,0.0,77.60764798490067,0.0,1,1,B_pure_quant_vr1.5,True
600685,600685.SH,中船防务,船舶,20260105,29.99,59.18671227069939,59.18671227069939,0.0,1.95,4.7045,12725.24,3.8782051282051313,momentum,BULL_TREND,48.1737061987443,94.73076923076921,100.0,80.0,39.871339040281455,63.33333333333333,0.0,73.46644943087867,0.0,2,2,B_pure_quant_vr1.5,True
603236,603236.SH,移远通信,通信设备,20260105,100.12,58.168574725441296,58.168574725441296,0.0,2.06,5.6418,27751.69,0.47713717693835966,momentum,BULL_TREND,52.132216870424685,100.0,100.0,65.0,44.92697312632956,33.33333333333333,0.0,64.46680902945018,0.0,3,3,B_pure_quant_vr1.5,True
002153,002153.SZ,石基信息,软件服务,20260105,11.32,66.8347828629055,60.631735982967406,6.2030468799380865,2.07,4.6339,8837.99,0.17636684303350594,momentum,BULL_TREND,52.48153838623002,100.0,88.37989999999999,65.0,62.03046879938086,33.33333333333333,0.0,77.60764798490067,0.0,1,1,A_recovered_proxy_vr1.2,True
001389,001389.SZ,广合科技,元器件,20260105,82.64,65.32087704772903,57.51016061958608,7.810716428142943,1.44,3.9629,9991.34,1.2428298279158774,momentum,BULL_TREND,26.303440583379377,100.0,99.9134,65.0,78.10716428142942,20.0,0.0,37.1053167579329,0.0,2,2,A_recovered_proxy_vr1.2,True
002436,002436.SZ,兴森科技,元器件,20260105,22.27,64.97130312221624,57.160586694073295,7.810716428142943,1.26,7.3531,49261.02,0.8459483526268978,momentum,BULL_TREND,16.67118668625959,100.0,100.0,80.0,78.10716428142942,33.33333333333333,0.0,33.71809168181804,0.0,3,3,A_recovered_proxy_vr1.2,True
002153,002153.SZ,石基信息,软件服务,20260105,11.32,60.631735982967406,60.631735982967406,0.0,2.07,4.6339,8837.99,0.17636684303350594,momentum,BULL_TREND,52.48153838623002,100.0,88.37989999999999,65.0,62.03046879938086,33.33333333333333,0.0,77.60764798490067,0.0,1,1,D_pure_quant_vr1.2,True
